rxn name,EC,Substrate ,kcat value,Organism kcat,equilibrium constant,comment
3HAD60,4.2.1.58,3hhexACP[c],NaN,,,
3HAD80,4.2.1.58,3hoctACP[c],NaN,,,
3HPPtex,,3hpp[e],NaN,,,
3HPPtex_rev,,3hpp[p],NaN,,,
3HPPtpp,,3hpp[c]+h[c],NaN,,,
3OAR100,1.1.1.100,3odecACP[c]+h[c]+nadph[c],0.59,Escherichia coli,,
3OAR100_rev,1.1.1.100,3hdecACP[c]+nadp[c],NaN,,,Equilibrium constant unknown
3OAR120,1.1.1.100,3oddecACP[c]+h[c]+nadph[c],0.59,Escherichia coli,,
3OAR120_rev,1.1.1.100,3hddecACP[c]+nadp[c],NaN,,,Equilibrium constant unknown
3OAR121,1.1.1.100,3ocddec5eACP[c]+h[c]+nadph[c],0.59,Escherichia coli,,
3OAR140,1.1.1.100,3omrsACP[c]+h[c]+nadph[c],0.59,Escherichia coli,,
3OAR140_rev,1.1.1.100,3hmrsACP[c]+nadp[c],NaN,,,Equilibrium constant unknown
3OAR141,1.1.1.100,3ocmrs7eACP[c]+h[c]+nadph[c],0.59,Escherichia coli,,
3OAR160,1.1.1.100,3opalmACP[c]+h[c]+nadph[c],0.59,Escherichia coli,,
3OAR160_rev,1.1.1.100,3hpalmACP[c]+nadp[c],NaN,,,Equilibrium constant unknown
3OAR161,1.1.1.100,3ocpalm9eACP[c]+h[c]+nadph[c],0.59,Escherichia coli,,
3OAR180,1.1.1.100,3ooctdACP[c]+h[c]+nadph[c],0.59,Escherichia coli,,
3OAR180_rev,1.1.1.100,3hoctaACP[c]+nadp[c],NaN,,,Equilibrium constant unknown
3OAR181,1.1.1.100,3ocvac11eACP[c]+h[c]+nadph[c],0.59,Escherichia coli,,
3OAR40,1.1.1.100,actACP[c]+h[c]+nadph[c],0.59,Escherichia coli,,
3OAR40_rev,1.1.1.100,3haACP[c]+nadp[c],NaN,,,Equilibrium constant unknown
3OAR60,1.1.1.100,3ohexACP[c]+h[c]+nadph[c],0.59,Escherichia coli,,
3OAR60_rev,1.1.1.100,3hhexACP[c]+nadp[c],NaN,,,Equilibrium constant unknown
3OAR80,1.1.1.100,3ooctACP[c]+h[c]+nadph[c],0.59,Escherichia coli,,
3OAR80_rev,1.1.1.100,3hoctACP[c]+nadp[c],NaN,,,Equilibrium constant unknown
3OAS100,2.3.1.41,h[c]+malACP[c]+ocACP[c],0.011,Escherichia coli,,
3OAS120,2.3.1.41,dcaACP[c]+h[c]+malACP[c],0.011,Escherichia coli,,
3OAS121,2.3.1.41,cdec3eACP[c]+h[c]+malACP[c],0.011,Escherichia coli,,
3OAS140,2.3.1.41,ddcaACP[c]+h[c]+malACP[c],0.011,Escherichia coli,,
3OAS141,2.3.1.41,cddec5eACP[c]+h[c]+malACP[c],0.011,Escherichia coli,,
3OAS160,2.3.1.41,h[c]+malACP[c]+myrsACP[c],0.011,Escherichia coli,,
3OAS161,2.3.1.41,h[c]+malACP[c]+tdeACP[c],0.011,Escherichia coli,,
3OAS180,2.3.1.41,h[c]+malACP[c]+palmACP[c],0.011,Escherichia coli,,
3OAS181,2.3.1.41,h[c]+hdeACP[c]+malACP[c],0.011,Escherichia coli,,
3OAS60,2.3.1.41,butACP[c]+h[c]+malACP[c],0.011,Escherichia coli,,
3OAS80,2.3.1.41,h[c]+hexACP[c]+malACP[c],0.011,Escherichia coli,,
3PEPTabcpp,,atp[c]+h2o[c]+LalaDgluMdap[p],NaN,,,
3PEPTtex,,LalaDgluMdap[e],NaN,,,
3PEPTtex_rev,,LalaDgluMdap[p],NaN,,,
3UMPtex,,3ump[e],NaN,,,
3UMPtex_rev,,3ump[p],NaN,,,
4HOXPACDtex,,4hoxpacd[e],NaN,,,
4HOXPACDtex_rev,,4hoxpacd[p],NaN,,,
4PCP,,LalaDgluMdapDala[c]+h2o[c],NaN,,,
4PCPpp,,LalaDgluMdapDala[p]+h2o[p],NaN,,,
4PEPTabcpp,,atp[c]+h2o[c]+LalaDgluMdapDala[p],NaN,,,
4PEPTtex,,LalaDgluMdapDala[e],NaN,,,
4PEPTtex_rev,,LalaDgluMdapDala[p],NaN,,,
5DGLCNR,1.1.1.69,5dglcn[c]+h[c]+nadph[c],NaN,,,
5DGLCNR_rev,1.1.1.69,glcn[c]+nadp[c],NaN,,,
5DGLCNt2rpp,,5dglcn[p]+h[p],NaN,,,
5DGLCNt2rpp_rev,,5dglcn[c]+h[c],NaN,,,
5DGLCNtex,,5dglcn[e],NaN,,,
5DGLCNtex_rev,,5dglcn[p],NaN,,,
5DOAN,,dad-5[c]+h2o[c],NaN,,,
5MTRtex,,5mtr[e],NaN,,,
5MTRtex_rev,,5mtr[p],NaN,,,
5MTRtpp,,5mtr[c]+h[c],NaN,,,
A5PISO,5.3.1.13,ru5p-D[c],255,Escherichia coli,,
A5PISO,,,19,Escherichia coli,,
A5PISO,,,242,Escherichia coli,,
A5PISO_rev,5.3.1.13,ara5p[c],88.2352941176,Escherichia coli,2.89,calculated kcat
A5PISO_rev,,,6.5743944637,Escherichia coli,2.89,calculated kcat
A5PISO_rev,,,83.7370242215,Escherichia coli,2.89,calculated kcat
AACPS1,6.2.1.20,ACP[c]+atp[c]+ttdca[c],0.016,Synechococcus elongatus ,,Bacteria
AACPS2,6.2.1.20,ACP[c]+atp[c]+ttdcea[c],0.016,Synechococcus elongatus ,,Bacteria
AACPS3,6.2.1.20,ACP[c]+atp[c]+hdca[c],0.016,Synechococcus elongatus ,,Bacteria
AACPS4,6.2.1.20,ACP[c]+atp[c]+hdcea[c],0.016,Synechococcus elongatus ,,Bacteria
AACPS5,6.2.1.20,ACP[c]+atp[c]+ocdcea[c],0.016,Synechococcus elongatus ,,Bacteria
AACPS6,6.2.1.20,ACP[c]+atp[c]+ocdca[c],0.016,Synechococcus elongatus ,,Bacteria
AACPS7,6.2.1.20,ACP[c]+atp[c]+ddca[c],0.016,Synechococcus elongatus ,,Bacteria
AACPS8,6.2.1.20,ACP[c]+atp[c]+dca[c],0.016,Synechococcus elongatus ,,Bacteria
AACPS9,6.2.1.20,ACP[c]+atp[c]+octa[c],0.016,Synechococcus elongatus ,,Bacteria
AACTOOR,,aact[c]+h2o[c]+o2[c],NaN,,,
AADDGT,,dtdp4aaddg[c]+unagamu[c],NaN,,,
ABTA,2.6.1.19,4abut[c]+akg[c],47.4,Escherichia coli,,
ABUTD,1.2.1.19,4abutn[c]+h2o[c]+nad[c],7.7,Escherichia coli,,
ABUTt2pp,,4abut[p]+h[p],NaN,,,
ABUTtex,,4abut[e],NaN,,,
ABUTtex_rev,,4abut[p],NaN,,,
ACACT1r,2.3.1.9,accoa[c],2.1,Zoogloea ramigera ,,Proteobacteria
ACACT1r_rev,2.3.1.9,aacoa[c]+coa[c],410,Zoogloea ramigera ,,Proteobacteria
ACACT1r_rev,,,465,Zoogloea ramigera ,,Proteobacteria
ACACT1r_rev,,,620,Zoogloea ramigera ,,Proteobacteria
ACACt2pp,,acac[p]+h[p],NaN,,,
ACACt2pp_rev,,acac[c]+h[c],NaN,,,
ACACT2r,2.3.1.16,accoa[c]+btcoa[c],14.8,Homo sapiens,,Eukaryota
ACACT2r_rev,2.3.1.16,3ohcoa[c]+coa[c],2208955.2238806,Homo sapiens,6.70E-006,calculated kcat
ACACT3r,2.3.1.16,accoa[c]+hxcoa[c],14.8,Homo sapiens,,Eukaryota
ACACT3r_rev,2.3.1.16,3oocoa[c]+coa[c],778947.368421053,Homo sapiens,1.90E-005,calculated kcat
ACACT4r,2.3.1.16,accoa[c]+occoa[c],14.8,Homo sapiens,,Eukaryota
ACACT4r_rev,2.3.1.16,3odcoa[c]+coa[c],778947.368421053,Homo sapiens,1.90E-005,calculated kcat
ACACT5r,2.3.1.16,accoa[c]+dcacoa[c],14.8,Homo sapiens,,Eukaryota
ACACT5r_rev,2.3.1.16,3oddcoa[c]+coa[c],778947.368421053,Homo sapiens,1.90E-005,calculated kcat
ACACT6r,2.3.1.16,accoa[c]+ddcacoa[c],14.8,Homo sapiens,,Eukaryota
ACACT6r_rev,2.3.1.16,3otdcoa[c]+coa[c],778947.368421053,Homo sapiens,1.90E-005,calculated kcat
ACACT7r,2.3.1.16,accoa[c]+tdcoa[c],14.8,Homo sapiens,,Eukaryota
ACACT7r_rev,2.3.1.16,3ohdcoa[c]+coa[c],778947.368421053,Homo sapiens,1.90E-005,calculated kcat
ACACT8r,2.3.1.16,3oodcoa[c]+coa[c],0.0002792453,Homo sapiens,53000,calculated kcat
ACACT8r_rev,2.3.1.16,accoa[c]+pmtcoa[c],14.8,Homo sapiens,,Eukaryota
ACACtex,,acac[e],NaN,,,
ACACtex_rev,,acac[p],NaN,,,
ACALD,1.2.1.10,acald[c]+coa[c]+nad[c],15.7,Escherichia coli,,
ACALD_rev,1.2.1.10,accoa[c]+h[c]+nadh[c],0.0164742917,Escherichia coli,953,
ACALDtex,,acald[e],NaN,,,
ACALDtex_rev,,acald[p],NaN,,,
ACALDtpp,,acald[p],NaN,,,
ACALDtpp_rev,,acald[c],NaN,,,
ACCOAC,6.4.1.2,accoa[c]+atp[c]+hco3[c],30.1,Klebsiella pneumoniae ,,Proteobacteria
ACCOAC,,,11.6,Acinetobacter baumannii ,,Proteobacteria
ACCOAL,6.2.1.13,atp[c]+coa[c]+ppa[c],68,Pyrococcus furiosus ,,Archaea
ACCOAL,,,82,Pyrococcus furiosus ,,Archaea
ACCOAL,,,65,Pyrococcus furiosus ,,Archaea
ACCOAL,,,70,Pyrococcus furiosus ,,Archaea
ACCOAL,,,73,Pyrococcus furiosus ,,Archaea
ACGAL1Ptex,,acgal1p[e],NaN,,,
ACGAL1Ptex_rev,,acgal1p[p],NaN,,,
ACGALtex,,acgal[e],NaN,,,
ACGALtex_rev,,acgal[p],NaN,,,
ACGAM1Ptex,,acgam1p[e],NaN,,,
ACGAM1Ptex_rev,,acgam1p[p],NaN,,,
ACGAMK,2.7.1.59,acgam[c]+atp[c],65,Clostridium acetobutylicum ,,Bacteria
ACGAMT,,uacgam[c]+udcpp[c],NaN,,,
ACGAtex,,acgam[e],NaN,,,
ACGAtex_rev,,acgam[p],NaN,,,
ACGK,2.7.2.8,acglu[c]+atp[c],31.4,Corynebacterium crenatum ,,Bacteria
ACGK,,,31.4,Corynebacterium glutamicum ,,Bacteria
ACGK,,,45.1,Corynebacterium crenatum ,,Bacteria
ACGK,,,45.1,Corynebacterium glutamicum ,,Bacteria
ACGS,2.3.1.1,accoa[c]+glu-L[c],0.22,Mycobacterium tuberculosis ,,Bacteria
ACGS,,,0.78,Mycobacterium tuberculosis ,,Bacteria
ACHBS,,2obut[c]+h[c]+pyr[c],NaN,,,
ACKr,2.7.2.1,ac[c]+atp[c],1180,Salmonella enterica,,Proteobacteria
ACKr_rev,2.7.2.1,actp[c]+adp[c],1764,Salmonella enterica,,Proteobacteria
ACLS,4.1.3.18,h[c]+pyr[c],NaN,,,
ACM6PH,,acmum6p[c]+h2o[c],NaN,,,
ACMAMUT,,uacmamu[c]+unaga[c],NaN,,,
ACMANAtex,,acmana[e],NaN,,,
ACMANAtex_rev,,acmana[p],NaN,,,
ACNAMtex,,acnam[e],NaN,,,
ACNAMtex_rev,,acnam[p],NaN,,,
ACOAD1f,1.3.99.2,btcoa[c]+fad[c],NaN,,,
ACOAD1f_rev,1.3.99.2,b2coa[c]+fadh2[c],NaN,,,
ACOAD2f,1.3.99.3,fad[c]+hxcoa[c],NaN,,,
ACOAD2f_rev,1.3.99.3,fadh2[c]+hx2coa[c],NaN,,,
ACOAD3f,1.3.99.3,fad[c]+occoa[c],NaN,,,
ACOAD3f_rev,1.3.99.3,fadh2[c]+oc2coa[c],NaN,,,
ACOAD4f,1.3.99.3,dcacoa[c]+fad[c],NaN,,,
ACOAD4f_rev,1.3.99.3,dc2coa[c]+fadh2[c],NaN,,,
ACOAD5f,1.3.99.3,ddcacoa[c]+fad[c],NaN,,,
ACOAD5f_rev,1.3.99.3,dd2coa[c]+fadh2[c],NaN,,,
ACOAD6f,1.3.99.3,fad[c]+tdcoa[c],NaN,,,
ACOAD6f_rev,1.3.99.3,fadh2[c]+td2coa[c],NaN,,,
ACOAD7f,1.3.99.3,fad[c]+pmtcoa[c],NaN,,,
ACOAD7f_rev,1.3.99.3,fadh2[c]+hdd2coa[c],NaN,,,
ACOAD8f,1.3.99.3,fad[c]+stcoa[c],NaN,,,
ACOAD8f_rev,1.3.99.3,fadh2[c]+od2coa[c],NaN,,,
ACOATA,2.3.1.38,ACP[c]+accoa[c],0.0508,Streptomyces collinus ,,Bacteria
ACOATA,,,0.0225,Streptomyces collinus ,,Bacteria
ACOATA_rev,2.3.1.38,acACP[c]+coa[c],NaN,,,Equilibrium constant unknown
ACODA,3.5.1.16,acorn[c]+h2o[c],1600,Escherichia coli,,
ACODA,,,3800,Escherichia coli,,
ACOLIPAabctex,,atp[c]+h2o[c]+acolipa[p],NaN,,,
ACONIs,5.3.3.7,acon-T[c],NaN,,,
ACONIs_rev,5.3.3.7,acon-C[c],NaN,,,
ACONTa,4.2.1.3,cit[c],5.3,Salmonella enterica,,Proteobacteria
ACONTa_rev,4.2.1.3,acon-C[c]+h2o[c],5.2,Salmonella enterica,,Proteobacteria
ACONTb,4.2.1.3,acon-C[c]+h2o[c],5.2,Salmonella enterica,,Proteobacteria
ACONTb_rev,4.2.1.3,icit[c],1.1,Salmonella enterica,,Proteobacteria
ACOTA,2.6.1.11,acorn[c]+akg[c],1.55,Salmonella enterica,,Proteobacteria
ACOTA_rev,2.6.1.11,acg5sa[c]+glu-L[c],0.0182567727,Salmonella enterica,84.9,calculated
ACPPAT120,,ddcaACP[c]+h[c]+pi[c],NaN,,,
ACPPAT140,,h[c]+myrsACP[c]+pi[c],NaN,,,
ACPPAT141,,h[c]+pi[c]+tdeACP[c],NaN,,,
ACPPAT160,,h[c]+palmACP[c]+pi[c],NaN,,,
ACPPAT161,,h[c]+hdeACP[c]+pi[c],NaN,,,
ACPPAT180,,h[c]+ocdcaACP[c]+pi[c],NaN,,,
ACPPAT181,,h[c]+octeACP[c]+pi[c],NaN,,,
ACS,6.2.1.1,ac[c]+atp[c]+coa[c],1.7,Salmonella enterica,,Proteobacteria
ACS,,,3.2,Salmonella enterica,,Proteobacteria
ACS,,,95.1,Salmonella enterica,,Proteobacteria
ACS,,,100.6,Salmonella enterica,,Proteobacteria
ACSERtex,,acser[e],NaN,,,
ACSERtex_rev,,acser[p],NaN,,,
ACSERtpp,,acser[c],NaN,,,
ACt2rpp,,ac[p]+h[p],NaN,,,
ACt2rpp_rev,,ac[c]+h[c],NaN,,,
ACt4pp,,ac[p]+na1[p],NaN,,,
ACtex,,ac[e],NaN,,,
ACtex_rev,,ac[p],NaN,,,
ADA,3.5.4.4,adn[c]+h[c]+h2o[c],11.5,Streptomyces coelicolor ,,Bacteria
ADCL,,4adcho[c],NaN,,,
ADCS,,chor[c]+gln-L[c],NaN,,,
ADD,3.5.4.2,ade[c]+h[c]+h2o[c],2,Escherichia coli,,
ADEt2rpp,,ade[p]+h[p],NaN,,,
ADEt2rpp_rev,,ade[c]+h[c],NaN,,,
ADEtex,,ade[e],NaN,,,
ADEtex_rev,,ade[p],NaN,,,
ADK1,2.7.4.3,amp[c]+atp[c],0.135,Bacillus subtilis,,Bacteria
ADK1_rev,2.7.4.3,adp[c],783,Homo sapiens,,Eukaryota
ADK3,,amp[c]+gtp[c],NaN,,,
ADK3_rev,,adp[c]+gdp[c],NaN,,,
ADK4,,amp[c]+itp[c],NaN,,,
ADK4_rev,,adp[c]+idp[c],NaN,,,
ADMDC,4.1.1.50,amet[c]+h[c],0.027,Streptomyces griseochromogenes,,Bacteria
ADMDC,,,1,Thermotoga maritima ,,Bacteria
ADNCYC,4.6.1.1,atp[c],1.67,Escherichia coli,,
ADNK1,2.7.1.20,adn[c]+atp[c],18,Leishmania donovani ,,Bacteria
ADNK1,,,24.15,Leishmania donovani ,,Bacteria
ADNK1,,,7.3,Trypanosoma brucei ,,Bacteria
ADNt2pp,,adn[p]+h[p],NaN,,,
ADNt2rpp,,adn[p]+h[p],NaN,,,
ADNt2rpp_rev,,adn[c]+h[c],NaN,,,
ADNtex,,adn[e],NaN,,,
ADNtex_rev,,adn[p],NaN,,,
ADNUC,3.2.2.8,adn[c]+h2o[c],0.0154,Escherichia coli,,
ADPRDP,3.6.1.13,adprib[c]+h2o[c],117,Escherichia coli,,
ADPT,2.4.2.7,ade[c]+prpp[c],9.33,Escherichia coli,,
ADSK,2.7.1.25,aps[c]+atp[c],50,Escherichia coli,,
ADSL1r,4.3.2.2,dcamp[c],1.74,Bacillus subtilis,,Bacteria
ADSL1r_rev,4.3.2.2,amp[c]+fum[c],102.9585798817,Bacillus subtilis,0.0169,calculated kcat
ADSL2r,4.3.2.2,25aics[c],,,,
ADSL2r_rev,4.3.2.2,aicar[c]+fum[c],,,,
ADSS,6.3.4.4,asp-L[c]+gtp[c]+imp[c],0.096,Escherichia coli,,
ADSS,,,1,Escherichia coli,,
ADSS,,,1.59,Escherichia coli,,
AGDC,3.5.1.25,acgam6p[c]+h2o[c],96,Escherichia coli,,
AGDC,,,105,Escherichia coli,,
AGM3PA,,anhgm3p[c]+h2o[c],NaN,,,
AGM3PApp,,anhgm3p[p]+h2o[p],NaN,,,
AGM3PH,,anhgm3p[c]+h2o[c],NaN,,,
AGM3Pt2pp,,anhgm3p[p]+h[p],NaN,,,
AGM4PA,,anhgm4p[c]+h2o[c],NaN,,,
AGM4PApp,,anhgm4p[p]+h2o[p],NaN,,,
AGM4PCP,,anhgm4p[c]+h2o[c],NaN,,,
AGM4PCPpp,,anhgm4p[p]+h2o[p],NaN,,,
AGM4PH,,anhgm4p[c]+h2o[c],NaN,,,
AGM4Pt2pp,,anhgm4p[p]+h[p],NaN,,,
AGMH,,anhgm[c]+h2o[c],NaN,,,
AGMHE,5.1.3.20,adphep-DD[c],NaN,,,
AGMT,3.5.3.11,agm[c]+h2o[c],0.032,Methanocaldococcus jannaschii ,,Archaea
AGMT,,,3,Homo sapiens,,Eukaryota
AGMt2pp,,anhgm[p]+h[p],NaN,,,
AGMtex,,agm[e],NaN,,,
AGMtex_rev,,agm[p],NaN,,,
AGPAT120,2.3.1.51,1ddecg3p[c]+ddcaACP[c],NaN,,,
AGPAT140,2.3.1.51,1tdecg3p[c]+myrsACP[c],NaN,,,
AGPAT141,2.3.1.51,1tdec7eg3p[c]+tdeACP[c],NaN,,,
AGPAT160,2.3.1.51,1hdecg3p[c]+palmACP[c],NaN,,,
AGPAT161,2.3.1.51,1hdec9eg3p[c]+hdeACP[c],NaN,,,
AGPAT180,2.3.1.51,1odecg3p[c]+ocdcaACP[c],NaN,,,
AGPAT181,2.3.1.51,1odec11eg3p[c]+octeACP[c],NaN,,,
AGPR,1.2.1.38,acg5sa[c]+nadp[c]+pi[c],NaN,,,
AGPR_rev,1.2.1.38,acg5p[c]+h[c]+nadph[c],NaN,,,
AHCYSNS,3.2.2.9,ahcys[c]+h2o[c],2.1,Escherichia coli,,
AHCYSNS,,,2.6,Escherichia coli,,
AICART,2.1.2.3,10fthf[c]+aicar[c],NaN,,,
AICART_rev,2.1.2.3,fprica[c]+thf[c],NaN,,,
AIRC2,,air[c]+atp[c]+hco3[c],NaN,,,
AIRC3,,5aizc[c],NaN,,,
AIRC3_rev,,5caiz[c],NaN,,,
AKGDH,,akg[c]+coa[c]+nad[c],NaN,,,
AKGt2rpp,,akg[p]+h[p],NaN,,,
AKGt2rpp_rev,,akg[c]+h[c],NaN,,,
AKGtex,,akg[e],NaN,,,
AKGtex_rev,,akg[p],NaN,,,
ALAabcpp,,atp[c]+h2o[c]+ala-L[p],NaN,,,
ALAALAabcpp,,atp[c]+h2o[c]+alaala[p],NaN,,,
ALAALAD,3.4.17.14,alaala[c]+h2o[c],NaN,,,
ALAALAr,6.3.2.4,ala-D[c]+atp[c],11.83,Escherichia coli,,
ALAALAr,,,14.7,Escherichia coli,,
ALAALAr,,,26.7,Escherichia coli,,
ALAALAr_rev,6.3.2.4,adp[c]+alaala[c]+h[c]+pi[c],0.0005915,Escherichia coli,2.00E+004,calculated kcat
ALAALAr_rev,,,0.000735,Escherichia coli,2.00E+004,calculated kcat
ALAALAr_rev,,,0.001335,Escherichia coli,2.00E+004,calculated kcat
ALAALAtex,,alaala[e],NaN,,,
ALAALAtex_rev,,alaala[p],NaN,,,
ALAGLUE,,LalaDglu[c],NaN,,,
ALAGLUE_rev,,LalaLglu[c],NaN,,,
ALAR,5.1.1.1,ala-L[c],27.6,Escherichia coli,,
ALAR,,,53.98,Escherichia coli,,
ALAR_rev,5.1.1.1,ala-D[c],2,Escherichia coli,,
ALAR_rev,,,5.783,Escherichia coli,,
ALAt2pp,,ala-L[p]+h[p],NaN,,,
ALAt2rpp,,ala-L[p]+h[p],NaN,,,
ALAt2rpp_rev,,ala-L[c]+h[c],NaN,,,
ALAt4pp,,ala-L[p]+na1[p],NaN,,,
ALATA_D2,,ala-D[c]+pydx5p[c],NaN,,,
ALATA_L,2.6.1.2,akg[c]+ala-L[c],0.08,Pseudomonas putida ,,Proteobacteria
ALATA_L,,,0.38,Rhodopseudomonas palustris ,,Proteobacteria
ALATA_L_rev,2.6.1.2,glu-L[c]+pyr[c],0.17,Pseudomonas putida ,,Proteobacteria
ALATA_L_rev,,,3.06,Rhodopseudomonas palustris ,,Proteobacteria
ALATA_L2,,ala-L[c]+pydx5p[c],NaN,,,
ALAtex,,ala-L[e],NaN,,,
ALAtex_rev,,ala-L[p],NaN,,,
ALCD19,1.1.1.1,glyald[c]+h[c]+nadh[c],52.4,Thermus thermophilus ,,Bacteria
ALCD19_rev,1.1.1.1,glyc[c]+nad[c],0.84,Thermus thermophilus ,,Bacteria
ALCD2x,1.1.1.1,etoh[c]+nad[c],0.84,Thermus thermophilus ,,Bacteria
ALCD2x_rev,1.1.1.1,acald[c]+h[c]+nadh[c],52.4,Thermus thermophilus ,,Bacteria
ALDD19xr,1.2.1.39,h2o[c]+nad[c]+pacald[c],96.8,Escherichia coli,,
ALDD19xr_rev,1.2.1.39,h[c]+nadh[c]+pac[c],0.00000605,Escherichia coli,1.60E+007,calculated kcat
ALDD2x,1.2.1.3,acald[c]+h2o[c]+nad[c],11.03,Escherichia coli,,
ALDD2y,1.2.1.4,acald[c]+h2o[c]+nadp[c],0.75,Paenarthrobacter nicotinovorans,,Bacteria
ALLPI,,all6p[c],NaN,,,
ALLPI_rev,,allul6p[c],NaN,,,
ALLTAMH,3.5.3.9,alltt[c]+h[c]+h2o[c],18,Phaseolus vulgaris ,,Eukaryota
ALLtex,,all-D[e],NaN,,,
ALLtex_rev,,all-D[p],NaN,,,
ALLTN,3.5.2.5,alltn[c]+h2o[c],201.7,Phaseolus vulgaris ,,Eukaryota
